"编号","开始答题时间","结束答题时间","自定义字段","6.你还希望这个时间管理App里面有什么功能呢？What functions do you want in this app?",
"1","2018-03-11 15:42:02","2018-03-11 15:43:09","","没有什么想加的",
"2","2018-03-11 15:45:27","2018-03-11 15:47:01","","激励和鼓励的机制，可以让拖延症患者更好的进行时间管理",
"3","2018-03-11 15:46:51","2018-03-11 15:47:23","","无",
"4","2018-03-11 15:47:24","2018-03-11 15:47:58","","合理规划时间",
"5","2018-03-11 15:45:05","2018-03-11 15:48:31","","app锁定，足够高的权限可以关闭其他应用。deadline之前没完成的高亮显示。而且觉得可以在交互的语言风格上有不同版本，比如“毒舌版本”，“温柔劝解”“性冷淡”之类2333，有人设的时间管理",
"6","2018-03-11 15:47:56","2018-03-11 15:48:34","","Nope",
"7","2018-03-11 15:45:56","2018-03-11 15:50:45","","可以图形与文字结合起来，视觉效果上更活跃一点。1.加入一些类似随拍随记的功能。2.加入一些奖励的形式",
"8","2018-03-11 15:50:25","2018-03-11 15:50:59","","计时",
"9","2018-03-11 15:50:38","2018-03-11 15:54:50","","如果在本该完成任务的时间去用娱乐类APP，后台强制性关闭娱乐APP并打开任务APP",
"10","2018-03-11 15:53:32","2018-03-11 15:54:52","","加一个可以写每日标语的功能。还看到有的app可以把每天用户学习时间排名也不错",
"11","2018-03-11 15:53:49","2018-03-11 15:55:25","","！",
"12","2018-03-11 15:58:14","2018-03-11 15:58:50","","无",
"13","2018-03-11 15:58:27","2018-03-11 15:58:56","","可以插入涂鸦",
"14","2018-03-11 15:56:59","2018-03-11 16:02:19","","完成激励。比如按时完成某个任务，有可选的非物质性奖励。（可提供几种激励方式供挑选，比如我按时完成了某个任务之后跳出一张我爱豆的照片，哇，简直心花怒放）",
"15","2018-03-11 16:00:11","2018-03-11 16:02:53","","希望更智能一点 不要全堆着纯靠手写 不要太反人类了",
"16","2018-03-11 16:03:36","2018-03-11 16:04:29","","提醒吃药功能",
"17","2018-03-11 16:04:32","2018-03-11 16:06:00","","每天早上在我刷牙时提供今天的日程播报，加入地理位置相关的签到和提醒。",
"18","2018-03-11 16:04:07","2018-03-11 16:06:12","","可以根据个人要求，APP帮助设计时间规划",
"19","2018-03-11 16:08:14","2018-03-11 16:12:37","","可以加入倒计时提醒元素",
